source_row,date,time,x,y,z,energy_j,local_x,local_y
149,43948.0,0.595925925925926,384073.0,4352898.0,686.0,6.71151667560624,5073.0,7198.0
150,43948.0,0.598761574074074,384185.0,4352905.0,682.0,2.1818707638344073,5185.0,7205.0
151,43949.0,0.08539351851851852,384120.0,4352925.0,686.0,8.203296405774612,5120.0,7225.0
152,43949.0,0.36310185185185184,384166.0,4352872.0,690.0,1.64145710442222,5166.0,7172.0
153,43949.0,0.36375,383960.0,4352863.0,692.0,7.090928089176446,4960.0,7163.0
154,43949.0,0.4147222222222222,384160.0,4352884.0,694.0,6.459491912044156,5160.0,7184.0
155,43949.0,0.5464236111111112,384197.0,4352921.0,685.0,2.8994801958845144,5197.0,7221.0
156,43949.0,0.5004050925925926,384203.0,4352969.0,659.0,79.81167007100744,5203.0,7269.0
157,43950.0,0.32403935185185184,384180.0,4352762.0,752.0,2.364397716336859,5180.0,7062.0
158,43950.0,0.32513888888888887,384167.0,4352816.0,690.0,3.368494946721877,5167.0,7116.0
159,43950.0,0.3263773148148148,384129.0,4352827.0,693.0,1.208986762349809,5129.0,7127.0
160,43950.0,0.33260416666666665,383996.0,4352829.0,690.0,16.106024787375908,4996.0,7129.0
161,43950.0,0.3355324074074074,384188.0,4352894.0,682.0,1.2064800534261344,5188.0,7194.0
162,43950.0,0.40542824074074074,384159.0,4352821.0,688.0,3.1007503277975044,5159.0,7121.0
163,43950.0,0.40680555555555553,384190.0,4353010.0,672.0,101.94582254152235,5190.0,7310.0
164,43950.0,0.415474537037037,384143.0,4352950.0,683.0,2.2705904003331607,5143.0,7250.0
165,43950.0,0.4162384259259259,384163.0,4352898.0,683.0,4.324633384845834,5163.0,7198.0
166,43950.0,0.42398148148148146,384336.0,4352943.0,692.0,9.341597482659735,5336.0,7243.0
167,43950.0,0.42439814814814814,384208.0,4352846.0,669.0,63.55316928542919,5208.0,7146.0
168,43950.0,0.43635416666666665,384119.0,4352781.0,684.0,2.1803592069104676,5119.0,7081.0
169,43950.0,0.43680555555555556,384100.0,4352940.0,686.0,3.453552922067006,5100.0,7240.0
170,43950.0,0.46640046296296295,384164.0,4352903.0,709.0,267.7172693275334,5164.0,7203.0
171,43950.0,0.4698726851851852,384143.0,4352921.0,688.0,9.762906976273946,5143.0,7221.0
172,43950.0,0.49680555555555556,384200.0,4352839.0,689.0,1.311308051425254,5200.0,7139.0
173,43950.0,0.506087962962963,384108.0,4352852.0,680.0,10.446993288671347,5108.0,7152.0
174,43950.0,0.5532407407407407,384158.0,4352930.0,689.0,3.2356757927162945,5158.0,7230.0
175,43950.0,0.8029513888888888,384053.0,4352908.0,690.0,4.592833747870374,5053.0,7208.0
176,43950.0,0.5067013888888889,384122.0,4352858.0,664.0,0.8233785022965677,5122.0,7158.0
177,43950.0,0.9108796296296297,384144.0,4352873.0,688.0,3.4551581708131827,5144.0,7173.0
178,43950.0,0.9121180555555556,384160.0,4352874.0,689.0,1.1891251418767563,5160.0,7174.0
179,43951.0,0.1598263888888889,383902.0,4353027.0,690.0,518.1879769419606,4902.0,7327.0
180,43951.0,0.26479166666666665,384158.0,4352929.0,687.0,3.7506997335569734,5158.0,7229.0
181,43951.0,0.26516203703703706,384002.0,4353080.0,687.0,149.45436640916415,5002.0,7380.0
182,43951.0,0.34554398148148147,384091.0,4352780.0,685.0,1.7841124727356492,5091.0,7080.0
183,43951.0,0.44266203703703705,384192.0,4352934.0,682.0,1.4787324869994574,5192.0,7234.0
184,43951.0,0.4847800925925926,384207.0,4352941.0,686.0,3.858860960382958,5207.0,7241.0
185,43951.0,0.5066666666666667,384047.0,4352859.0,688.0,38.47212871409379,5047.0,7159.0
186,43951.0,0.5630902777777778,384160.0,4352914.0,683.0,8.162844898752526,5160.0,7214.0
187,43951.0,0.6522916666666667,384006.0,4352917.0,695.0,5.472895690117344,5006.0,7217.0
188,43951.0,0.6641203703703704,384130.0,4352953.0,685.0,11.208544626571037,5130.0,7253.0
189,43951.0,0.7777314814814815,383976.0,4352840.0,791.0,6.513469905129222,4976.0,7140.0
190,43951.0,0.8388541666666667,384006.0,4352830.0,682.0,3.047569863845016,5006.0,7130.0
191,43951.0,0.8578125,384083.0,4352901.0,744.0,2.509470588175793,5083.0,7201.0
192,43951.0,0.9547453703703703,384141.0,4352905.0,684.0,2.57839277223545,5141.0,7205.0
193,43951.0,0.9547916666666667,384081.0,4352928.0,683.0,48.28244000543237,5081.0,7228.0
194,43952.0,0.12818287037037038,384123.0,4352845.0,690.0,1.2800073858329926,5123.0,7145.0
195,43952.0,0.13620370370370372,384121.0,4352843.0,690.0,2.35410539200228,5121.0,7143.0
196,43952.0,0.2230787037037037,384188.0,4352959.0,687.0,2.968173182689372,5188.0,7259.0
197,43952.0,0.25333333333333335,384214.0,4352895.0,691.0,7.355264586297652,5214.0,7195.0
198,43952.0,0.2879398148148148,384105.0,4352870.0,695.0,3.518143477303565,5105.0,7170.0
199,43952.0,0.33804398148148146,384145.0,4352850.0,694.0,2.3108238894135162,5145.0,7150.0
